title,pubDate,guid,link,description
Northern Lights: Powerful aurora borealis display above Scotland,"Mon, 14 Mar 2022 11:30:04 GMT",https://www.bbc.co.uk/news/uk-scotland-highlands-islands-60736323,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-60736323?at_medium=RSS&at_campaign=KARANGA,The Northern Lights display comes as the chances of seeing the space weather are increased.
Ukraine war: Silent streets in wiped out Donetsk town,"Mon, 14 Mar 2022 14:10:08 GMT",https://www.bbc.co.uk/news/world-europe-60739681,https://www.bbc.co.uk/news/world-europe-60739681?at_medium=RSS&at_campaign=KARANGA,"Volnovakha, a town in Donetsk region, eastern Ukraine, has been decimated by fighting."
Behind the scenes on the nearly-ready Crossrail project,"Mon, 14 Mar 2022 06:18:45 GMT",https://www.bbc.co.uk/news/uk-england-london-60707959,https://www.bbc.co.uk/news/uk-england-london-60707959?at_medium=RSS&at_campaign=KARANGA,"The safety exercises on Crossrail are entering their final stages, meaning it could open in months."
The popular apps aiming to tame the chaos of family life,"Tue, 15 Mar 2022 00:22:57 GMT",https://www.bbc.co.uk/news/business-60213795,https://www.bbc.co.uk/news/business-60213795?at_medium=RSS&at_campaign=KARANGA,How tech is helping young families and couples regain their busy social lives after Covid.
Ukraine war: Fears Russian aggression could spill into Poland,"Tue, 15 Mar 2022 04:47:49 GMT",https://www.bbc.co.uk/news/world-europe-60746437,https://www.bbc.co.uk/news/world-europe-60746437?at_medium=RSS&at_campaign=KARANGA,The influx of refugees and Russian security threats leaves Poland feeling vulnerable.
Covid: Generation of musicians 'devastated' by restrictions,"Mon, 14 Mar 2022 22:57:12 GMT",https://www.bbc.co.uk/news/uk-wales-60662347,https://www.bbc.co.uk/news/uk-wales-60662347?at_medium=RSS&at_campaign=KARANGA,"Only Boys Aloud's founder says people lose the ""freedom to let rip and sing"" over Zoom."
War in Ukraine: Why Vladimir Putin couldn't have trained fighters in Africa,"Tue, 15 Mar 2022 00:40:37 GMT",https://www.bbc.co.uk/news/60705629,https://www.bbc.co.uk/news/60705629?at_medium=RSS&at_campaign=KARANGA,A misleading photo has been used by some to suggest the continent should support Russia in Ukraine.
Ukraine conflict: What military and economic support could China offer Russia?,"Mon, 14 Mar 2022 17:15:27 GMT",https://www.bbc.co.uk/news/60571253,https://www.bbc.co.uk/news/60571253?at_medium=RSS&at_campaign=KARANGA,The two have close economic and military ties - but could China come to Russia's aid?
Chelsea & Roman Abramovich: Is this a moment of reckoning for English football ownership?,"Mon, 14 Mar 2022 13:41:46 GMT",https://www.bbc.co.uk/sport/football/60734095,https://www.bbc.co.uk/sport/football/60734095?at_medium=RSS&at_campaign=KARANGA,"With the risk of clubs becoming involved in geopolitics now exposed, football authorities and the government face questions over ownership in English football this week."
Cancer: 'I thought I had Covid but it was terminal lung cancer',"Mon, 14 Mar 2022 11:51:25 GMT",https://www.bbc.co.uk/news/uk-wales-60696837,https://www.bbc.co.uk/news/uk-wales-60696837?at_medium=RSS&at_campaign=KARANGA,Doctors call for targeted lung cancer screening to catch cases early and reduce deaths by 20%.
